Type,Name,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Buffalo Bills,BUF,Balanced,4-3 Zone,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Miami Dolphins,MIA,Balanced,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,,
Team,New England Patriots,NE,Spread Pocket,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,,
Team,New York Jets,NYJ,West Coast,3-4 Man,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Baltimore Ravens,BAL,Spread Run,Zone Blitz,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Cincinnati Bengals,CIN,West Coast,4-3 Zone,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Cleveland Browns,CLE,West Coast,4-3 Man,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Pittsburgh Steelers,PIT,Balanced,Zone Blitz,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Houston Texans,HOU,Spread Run,3-4 Zone,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Indianpolis Colts,IND,Spread Pocket,Tampa 2,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Jacksonville Jaguars,JAX,Balanced,4-3 Zone,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Tennessee Titans,TEN,Balanced,3-4 Zone,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Denver Broncos,DEN,West Coast,3-4 Mix,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Kansas City Chiefs,KC,West Coast,3-4 Zone,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Los Angeles Chargers,LAC,Spread Run,4-3 Zone,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Las Vegas Raiders,LV,West Coast,4-3 Zone,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Dallas Cowboys,DAL,Balanced,Tampa 2,,,,,,,,,,,,,,,,,,,,,,,,,
Team,New York Giants,NYG,Spread Pocket,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Philadelphia Eagles,PHI,West Coast,4-3 Man,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Washington Redskins,WAS,Balanced,4-3 Zone,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Chicago Bears,CHI,West Coast,3-4 Mix,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Detroit Lions,DET,Balanced,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Green Bay Packers,GB,West Coast,3-4 Mix,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Minnesota Vikings,MIN,West Coast,4-3 Man,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Atlanta Falcons,ATL,Balanced,4-3 Zone,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Carolina Panthers,CAR,Spread Run,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,,
Team,New Orleans Saints,NO,Vertical,4-3 Zone,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Tampa Bay Buccaneers,TB,Spread Pocket,3-4 Mix,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Arizona Cardinals,ARI,Spread Pocket,3-4 Mix,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Los Angeles Rams,LAR,Spread Run,3-4 Man,,,,,,,,,,,,,,,,,,,,,,,,,
Team,San Francisco 49ers,SF,Spread Run,4-3 Mix,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Seattle Seahawks,SEA,Balanced,4-3 Zone,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Free Agents,FA,Balanced,4-3 Mix,,,,,,,,,,,,,,,,,,,,,,,,,
Scout,Brandon Beane,42,BUF,1,3,2,4,3,5,4,1,,,,,,,,,,,,,,,,,,
Scout,Chris Grier,45,MIA,2,5,3,1,3,2,2,2,,,,,,,,,,,,,,,,,,
Scout,Brian Smith,41,NE,5,2,3,4,3,3,4,5,,,,,,,,,,,,,,,,,,
Scout,Joe Douglas,46,NYJ,1,3,3,2,4,3,3,1,,,,,,,,,,,,,,,,,,
Scout,Eric DeCosta,48,BAL,2,2,0,4,3,3,5,4,,,,,,,,,,,,,,,,,,
Scout,Duke Tobin,48,CIN,4,4,3,2,4,4,1,0,,,,,,,,,,,,,,,,,,
Scout,Andrew Berry,58,CLE,2,3,2,3,3,3,3,2,,,,,,,,,,,,,,,,,,
Scout,Kevin Colbert,62,PIT,4,5,5,5,4,3,2,4,,,,,,,,,,,,,,,,,,
Scout,Nick Caserio,45,HOU,3,2,4,2,3,3,3,3,,,,,,,,,,,,,,,,,,
Scout,Chris Ballard,49,IND,2,2,1,1,1,1,1,4,,,,,,,,,,,,,,,,,,
Scout,David Caldwell,45,JAX,1,3,4,2,4,4,5,3,,,,,,,,,,,,,,,,,,
Scout,Jon Robinson,43,TEN,3,3,1,1,3,4,1,4,,,,,,,,,,,,,,,,,,
Scout,John Elway,58,DEN,0,2,3,2,4,4,4,3,,,,,,,,,,,,,,,,,,
Scout,Brett Veach,41,KC,3,5,4,2,4,3,4,2,,,,,,,,,,,,,,,,,,
Scout,Tom Telesco,46,LAC,2,1,3,2,5,3,4,4,,,,,,,,,,,,,,,,,,
Scout,Mike Mayock,60,LV,3,3,3,3,3,3,3,2,,,,,,,,,,,,,,,,,,
Scout,Stephen Jones,54,DAL,4,5,2,5,4,2,1,3,,,,,,,,,,,,,,,,,,
Scout,Dave Gettleman,68,NYG,2,1,1,3,4,3,5,0,,,,,,,,,,,,,,,,,,
Scout,Howie Roseman,43,PHI,4,4,3,5,4,4,4,3,,,,,,,,,,,,,,,,,,
