,Name,City,Country,Arena,Capactity,Logo URL,Division,City,State,,,,,,,,,,,,,,,,,,,,,,

Team,Hawks,Atlanta,USA,State Farm Arena,18118,https://gmgames.org/dm16logos/Team0.png,Southeast,Atlanta,Georgia,,,,,,,,,,,,,,,,,,,,,,

Team,Celtics,Boston,USA,TD Garden,18624,https://gmgames.org/dm16logos/Team1.png,Atlantc,Boston,Massachusetts,,,,,,,,,,,,,,,,,,,,,,

Team,Nets,Brooklyn,USA,Barclays Center,17732,https://gmgames.org/dm16logos/Team2.png,Atlantic,Brooklyn,New York,,,,,,,,,,,,,,,,,,,,,,

Team,Hornets,Charlotte,USA,Spectrum Center,19077,https://gmgames.org/dm16logos/Team3.png,Southeast,Charlotte,North Carolina,,,,,,,,,,,,,,,,,,,,,,

Team,Bulls,Chicago,USA,United Center,20917,https://gmgames.org/dm16logos/Team4.png,Central,Chicago,Illinois,,,,,,,,,,,,,,,,,,,,,,

Team,Cavaliers,Cleveland,USA,Rocket Mortgage FieldHouse,19432,https://gmgames.org/dm16logos/Team5.png,Central,Cleveland,Ohio,,,,,,,,,,,,,,,,,,,,,,

Team,Mavericks,Dallas,USA,American Airlines Center,19200,https://gmgames.org/dm16logos/Team6.png,Southwest,Dallas,Texas,,,,,,,,,,,,,,,,,,,,,,

Team,Nuggets,Denver,USA,Pepsi Center,19520,https://gmgames.org/dm16logos/Team7.png,Northwest,Denver,Colorado,,,,,,,,,,,,,,,,,,,,,,

Team,Pistons,Detroit,USA,Little Caesars Arena,20332,https://gmgames.org/dm16logos/Team8.png,Central,Detroit,Michigan,,,,,,,,,,,,,,,,,,,,,,

Team,Warriors,Golden State,USA,Chase Center,18064,https://gmgames.org/dm16logos/Team9.png,Pacific,Oakland,California,,,,,,,,,,,,,,,,,,,,,,

Team,Rockets,Houston,USA,Toyota Center,18055,https://gmgames.org/dm16logos/Team10.png,Southwest,Houston,Texas,,,,,,,,,,,,,,,,,,,,,,

